ChargerID,stationName,stationNamePoint,lat,lng,เลขถนน,ชื่อ ถนน (x),ตำบล,อำเภอ,จังหวัด,avg_ev_num_weekly_65,min_ev_num_weekly_65,max_ev_num_weekly_65,avg_res_ev_num_weekly_65,min_res_ev_num_weekly_65,max_res_ev_num_weekly_65,avg_trav_ev_num_weekly_65,min_trav_ev_num_weekly_65,max_trav_ev_num_weekly_65,avg_ev_num_weekly_66,min_ev_num_weekly_66,max_ev_num_weekly_66,avg_res_ev_num_weekly_66,min_res_ev_num_weekly_66,max_res_ev_num_weekly_66,avg_trav_ev_num_weekly_66,min_trav_ev_num_weekly_66,max_trav_ev_num_weekly_66,num_lw7_seats_veh_yearly_65,num_lw7_seats_veh_yearly_66
T54-IT3-4622-217,PEA VOLTA บางจาก บางปะหัน #2,PEA VOLTA บางจาก บางปะหัน,14.49155426,100.5246048,32,AH2,ตำบล ตานิม,อำเภอบางปะหัน,พระนครศรีอยุธยา,6,0,16,24,23,24,6,1,16,41,18,121,42,24,121,18,18,18,79755,81670
T54-IT3-4522-305,PEA VOLTA บางจาก บางละมุง กม.149 #2,PEA VOLTA บางจาก บางละมุง กม.149,12.89880276,100.8972549,3,ถ.สุขุมวิท,เมืองพัทยา,อำเภอบางละมุง,ชลบุรี,6,0,16,24,23,24,6,1,16,115,34,232,115,34,232,8,2,14,77142,81066
T54-IT1-4222-008,PEA VOLTA บางจาก พยุหะคีรี กม.308 #1,PEA VOLTA บางจาก พยุหะคีรี กม.308,15.40701675,100.1477203,1,AH2,ตำบล ม่วงหัก,อำเภอพยุหะคีรี,นครสวรรค์,6,0,16,24,23,24,6,1,16,47,20,122,49,24,122,8,1,19,51277,50591
T54-IT3-4022-284,PEA VOLTA บางจาก พยุหะคีรี กม.308 #2,PEA VOLTA บางจาก พยุหะคีรี กม.308,15.40701675,100.1477203,1,AH2,ตำบล ม่วงหัก,อำเภอพยุหะคีรี,นครสวรรค์,6,0,16,24,23,24,6,1,16,31,8,82,43,23,82,13,8,19,51277,50591
T54-IT1-4322-040,PEA VOLTA บางจาก พานทอง #1,PEA VOLTA บางจาก พานทอง,13.45387077,101.0237045,3466,บ้านเก่า,ตำบล บ้านเก่า,อำเภอพานทอง,ชลบุรี,6,0,16,24,23,24,6,1,16,44,23,82,44,23,82,9,2,18,,5917
T54-IT3-4022-286,PEA VOLTA บางจาก พานทอง #2,PEA VOLTA บางจาก พานทอง,13.45387077,101.0237045,3466,บ้านเก่า,ตำบล บ้านเก่า,อำเภอพานทอง,ชลบุรี,6,0,16,24,23,24,6,1,16,54,21,92,54,21,92,13,8,19,,5917
T54-IT1-4322-026,PEA VOLTA บางจาก โพนทอง #1,PEA VOLTA บางจาก โพนทอง,16.29488945,103.9761353,2046,เสลภูมิ ถนนขอนแก่น - โพนทอง,ตำบล สระนกแก้ว,อำเภอ โพนทอง,ร้อยเอ็ด,6,0,16,24,23,24,6,1,16,18,1,42,30,21,42,11,1,19,4190,4924
T54-IT3-4022-235,PEA VOLTA บางจาก โพนทอง #2,PEA VOLTA บางจาก โพนทอง,16.29488945,103.9761353,2046,เสลภูมิ ถนนขอนแก่น - โพนทอง,ตำบล สระนกแก้ว,อำเภอ โพนทอง,ร้อยเอ็ด,6,0,16,24,23,24,6,1,16,16,3,73,36,23,73,11,3,19,4190,4924
T54-IT3-4322-204,PEA VOLTA บางจาก เมืองกระบี่ กม.949 #1,PEA VOLTA บางจาก เมืองกระบี่ กม.949,8.26291084,98.80643463,4,ถ.เพชรเกษม,ตำบล เขาคราม,อำเภอเมืองกระบี่,กระบี่,6,0,16,24,23,24,6,1,16,14,5,30,28,26,30,12,5,19,27220,35174
T54-IT3-4522-300,PEA VOLTA บางจาก เมืองกระบี่ กม.949 #2,PEA VOLTA บางจาก เมืองกระบี่ กม.949,8.26291084,98.80643463,4,ถ.เพชรเกษม,ตำบล เขาคราม,อำเภอเมืองกระบี่,กระบี่,6,0,16,24,23,24,6,1,16,12,0,37,29,21,37,8,2,14,27220,35174
T54-IT3-4322-208,PEA VOLTA บางจาก เมืองเชียงราย #1,PEA VOLTA บางจาก เมืองเชียงราย,19.83996773,99.79504395,1,ถ. พหลโยธิน,ตำบลสันทราย,อำเภอเมืองเชียงราย,เชียงราย,6,0,16,24,23,24,6,1,16,40,9,99,41,21,99,9,9,9,43461,47465
T54-IT3-4122-306,PEA VOLTA บางจาก เมืองเชียงราย #2,PEA VOLTA บางจาก เมืองเชียงราย,19.83996773,99.79504395,1,ถ. พหลโยธิน,ตำบลสันทราย,อำเภอเมืองเชียงราย,เชียงราย,6,0,16,24,23,24,6,1,16,36,15,89,40,21,89,17,15,18,43461,47465
T54-IT3-4922-165,PEA VOLTA บางจาก เมืองนราธิวาส #1,PEA VOLTA บางจาก เมืองนราธิวาส,6.4092679,101.7968292,4084,4084,ตำบล ลำภู,อำเภอเมืองนราธิวาส,นราธิวาส,6,0,16,24,23,24,6,1,16,25,8,70,32,24,70,15,8,19,2054,2177
T54-IT3-4622-312,PEA VOLTA บางจาก เมืองนราธิวาส #2,PEA VOLTA บางจาก เมืองนราธิวาส,6.4092679,101.7968292,4084,4084,ตำบล ลำภู,อำเภอเมืองนราธิวาส,นราธิวาส,6,0,16,24,23,24,6,1,16,14,3,31,24,21,31,11,3,19,2054,2177
T54-IT3-4522-286,PEA VOLTA บางจาก เมืองพัทลุง #1,PEA VOLTA บางจาก เมืองพัทลุง,7.61435795,100.0510254,41,ถ.เพชรเกษม,ตำบล เขาเจียก,อำเภอเมืองพัทลุง,พัทลุง,6,0,16,24,23,24,6,1,16,28,0,73,40,26,73,14,6,19,4832,4449
T54-IT1-4322-168,PEA VOLTA บางจาก มหาสารคาม (แยกแก่งเลิงจาน) #1,PEA VOLTA บางจาก มหาสารคาม (แยกแก่งเลิงจาน),16.16606712,103.2824554,291,ถ.แจ้งสนิท,ตำบล แก่งเลิงจาน,อำเภอเมืองมหาสารคาม,มหาสารคาม,6,0,16,24,23,24,6,1,16,51,24,138,51,24,138,9,1,18,23094,25007
T54-IT3-4022-270,PEA VOLTA บางจาก มหาสารคาม (แยกแก่งเลิงจาน) #2,PEA VOLTA บางจาก มหาสารคาม (แยกแก่งเลิงจาน),16.16606712,103.2824554,291,ถ.แจ้งสนิท,ตำบล แก่งเลิงจาน,อำเภอเมืองมหาสารคาม,มหาสารคาม,6,0,16,24,23,24,6,1,16,48,25,108,48,25,108,11,4,19,23094,25007
T54-IT3-4022-276,PEA VOLTA บางจาก เมืองสมุทรสาคร #2,PEA VOLTA บางจาก เมืองสมุทรสาคร,13.46702099,100.1047134,35,ถ.พระราม2,ต.นาโคก,อ.เมืองสมุทรสาคร,สมุทรสาคร,6,0,16,24,23,24,6,1,16,63,24,128,63,24,128,5,1,10,59958,57788
T54-IT3-4422-185,PEA VOLTA บางจาก เมืองสระบุรี (บี5 อเวนิว) #1,PEA VOLTA บางจาก เมืองสระบุรี (บี5 อเวนิว),14.5396843,100.9104767,1,ถ. พหลโยธิน,ตำบล ปากเพรียว,อำเภอเมือง,สระบุรี,6,0,16,24,23,24,6,1,16,83,28,182,83,28,182,12,5,19,53857,52280
T54-IT3-4522-325,PEA VOLTA บางจาก เมืองสระบุรี (บี5 อเวนิว) #2,PEA VOLTA บางจาก เมืองสระบุรี (บี5 อเวนิว),14.5396843,100.9104767,1,ถ. พหลโยธิน,ตำบล ปากเพรียว,อำเภอเมือง,สระบุรี,6,0,16,24,23,24,6,1,16,78,28,184,78,28,184,18,18,18,53857,52280
T54-IT1-4322-029,PEA VOLTA บางจาก เมืองอุบลราชธานี (หนองขอน) #1,PEA VOLTA บางจาก เมืองอุบลราชธานี (หนองขอน),15.30442905,104.7590332,23,ถ. แจ้งสนิท,ตำบล หนองขอน,อำเภอเมืองอุบลราชธานี,อุบลราชธานี,6,0,16,24,23,24,6,1,16,10,0,28,25,22,28,9,2,18,9998,8985
T54-IT3-4022-290,PEA VOLTA บางจาก เมืองอุบลราชธานี (หนองขอน) #2,PEA VOLTA บางจาก เมืองอุบลราชธานี (หนองขอน),15.30442905,104.7590332,23,ถ. แจ้งสนิท,ตำบล หนองขอน,อำเภอเมืองอุบลราชธานี,อุบลราชธานี,6,0,16,24,23,24,6,1,16,8,0,17,27,22,31,9,3,17,9998,8985
T54-IT3-4622-307,PEA VOLTA บางจาก แม่สอด #2,PEA VOLTA บางจาก แม่สอด,16.72518921,98.59481049,12,ถนนสายเอเชีย,ตำบล แม่สอด,อำเภอแม่สอด,ตาก,6,0,16,24,23,24,6,1,16,20,6,76,34,22,76,11,6,19,6474,6672
T54-IT3-4522-293,PEA VOLTA บางจาก วังน้อย กม.71 #1,PEA VOLTA บางจาก วังน้อย กม.71,14.2549963,100.7675552,1,ถ. พหลโยธิน,ตำบล ชะแมบ,อำเภอวังน้อย,พระนครศรีอยุธยา,6,0,16,24,23,24,6,1,16,70,36,154,70,36,154,14,6,19,152329,153013
T54-IT3-4722-211,PEA VOLTA บางจาก วังน้อย กม.71 #2,PEA VOLTA บางจาก วังน้อย กม.71,14.2549963,100.7675552,1,ถ. พหลโยธิน,ตำบล ชะแมบ,อำเภอวังน้อย,พระนครศรีอยุธยา,6,0,16,24,23,24,6,1,16,67,34,152,67,34,152,11,3,19,152329,153013
T54-IT3-4422-191,PEA VOLTA บางจาก ศรีราชา กม.4 #1,PEA VOLTA บางจาก ศรีราชา กม.4,13.12040138,101.0258942,331,บายพาส331,ตำบล หนองขาม,อำเภอศรีราชา,ชลบุรี,6,0,16,24,23,24,6,1,16,43,12,126,46,28,126,15,12,17,40068,41307
T54-IT3-4722-183,PEA VOLTA บางจาก ศรีราชา กม.4 #2,PEA VOLTA บางจาก ศรีราชา กม.4,13.12040138,101.0258942,331,บายพาส331,ตำบล หนองขาม,อำเภอศรีราชา,ชลบุรี,6,0,16,24,23,24,6,1,16,38,15,68,39,23,68,15,15,15,40068,41307
T54-IT3-4322-213,PEA VOLTA บางจาก สบปราบ #1,PEA VOLTA บางจาก สบปราบ,17.90246201,99.34094238,1,ถ. พหลโยธิน,ตำบล สบปราบ,อำเภอสบปราบ,ลำปาง,6,0,16,24,23,24,6,1,16,49,15,142,52,22,142,17,15,18,71039,71864
T54-IT3-4622-318,PEA VOLTA บางจาก สบปราบ #2,PEA VOLTA บางจาก สบปราบ,17.90246201,99.34094238,1,ถ. พหลโยธิน,ตำบล สบปราบ,อำเภอสบปราบ,ลำปาง,6,0,16,24,23,24,6,1,16,44,1,157,59,23,157,13,1,19,71039,71864
T54-IT3-4822-071,PEA VOLTA บางจาก สามโคก #1,PEA VOLTA บางจาก สามโคก,14.03939915,100.5256043,3111,ปทุมธานี-สามโคก-เสนา,ตำบล บางโพธิ์เหนือ,อำเภอสามโคก,ปทุมธานี,6,0,16,24,23,24,6,1,16,54,33,90,54,33,90,12,2,19,11280,12303
T54-IT3-4622-221,PEA VOLTA บางจาก สามโคก #2,PEA VOLTA บางจาก สามโคก,14.03939915,100.5256043,3111,ปทุมธานี-สามโคก-เสนา,ตำบล บางโพธิ์เหนือ,อำเภอสามโคก,ปทุมธานี,6,0,16,24,23,24,6,1,16,45,20,85,45,22,85,18,18,18,11280,12303
T54-IT3-4622-255,PEA VOLTA ป่าบอน #1,PEA VOLTA ป่าบอน,7.26668882,100.1730499,4,ถ.เพชรเกษม,ตำบล วังใหม่,อำเภอ ป่าบอน,พัทลุง,6,0,16,24,23,24,6,1,16,10,3,23,22,21,23,9,3,18,18273,24221
T54-IT3-4622-301,PEA VOLTA ป่าบอน #2,PEA VOLTA ป่าบอน,7.26668882,100.1730499,4,ถ.เพชรเกษม,ตำบล วังใหม่,อำเภอ ป่าบอน,พัทลุง,6,0,16,24,23,24,6,1,16,12,1,43,31,23,43,8,1,19,18273,24221
